update,steps,avg100,ppo_loss,policy_loss,value_loss,entropy,eval_mean,eval_std
1,2048,15.0,37.42233726978302,-0.01713924469659105,74.89257984161377,0.6813287504017354,60.0,19.809088823063014
2,4096,25.0,44.059915685653685,-0.016373687935993076,88.16585569381714,0.6638466157019138,157.8,24.907027120874943
3,6144,25.333333333333332,69.4457552909851,-0.00935348536586389,138.9231614112854,0.6471730478107929,nan,nan
4,8192,23.75,76.69096755981445,-0.0097356959246099,153.41389389038085,0.6243553273379803,500.0,0.0
5,10240,23.05,80.41035451889039,-0.009959915711078793,160.85275955200194,0.6065099328756333,nan,nan
6,12288,22.791666666666668,88.3172197341919,-0.006120119558181614,176.65881938934325,0.6069412618875504,500.0,0.0
7,14336,22.964285714285715,89.05214586257935,-0.006134987715631724,178.12882537841796,0.6132144153118133,nan,nan
8,16384,22.84375,89.66777601242066,-0.0032723858137615027,179.3541172027588,0.6010100983083249,500.0,0.0
9,18432,22.38888888888889,93.9426983833313,-0.0034681798599194734,187.90446853637695,0.6067582905292511,nan,nan
10,20480,22.425,85.77303996086121,-0.005941983789671213,171.56999826431274,0.6016465999186039,442.8,57.82006572116639
11,22528,22.431818181818183,106.02377700805664,-0.0025324117916170506,212.0646541595459,0.6017652794718742,nan,nan
12,24576,21.895833333333332,95.92948617935181,-0.004408649634569883,191.87944736480713,0.5828377991914749,500.0,0.0
13,26624,21.384615384615383,91.75695295333863,-0.0028379843570291996,183.53082599639893,0.5622017785906792,nan,nan
14,28672,21.142857142857142,127.25116510391236,-0.003177468478679657,254.51925144195556,0.5281625278294086,500.0,0.0
15,30720,21.033333333333335,97.371240234375,-0.0028074302535969764,194.75894050598146,0.5422402486205101,nan,nan
16,32768,21.078125,92.87380523681641,-0.0029598045512102544,185.76431217193604,0.5391363814473152,500.0,0.0
17,34816,20.705882352941178,110.77867641448975,-0.0060713296348694715,221.58021545410156,0.5359887458384037,nan,nan
18,36864,21.23611111111111,66.91480431556701,-0.002903044759295881,133.84705390930176,0.581965760141611,500.0,0.0
19,38912,21.07894736842105,91.27935075759888,-0.0043486954120453445,182.5783603668213,0.5480282597243786,nan,nan
20,40960,21.4625,53.771644711494446,-0.003977869835216552,107.56251468658448,0.5634819403290748,500.0,0.0
21,43008,21.0,57.871551513671875,-0.005111801950260997,115.76465330123901,0.5663060821592808,nan,nan
22,45056,20.78409090909091,93.51567273139953,-0.005863522284198552,187.05413808822632,0.5532896414399147,500.0,0.0
23,47104,20.891304347826086,54.665364789962766,-0.0028862322331406178,109.34793586730957,0.5717424221336842,nan,nan
24,49152,21.0625,99.63785152435302,-0.004852637625299394,199.29620857238768,0.5400455713272094,500.0,0.0
25,51200,20.87,76.1203845500946,-0.006802532903384418,152.26552906036378,0.557703647017479,nan,nan
26,53248,21.31,53.18478407859802,-0.0022737561259418724,106.38531684875488,0.5600454159080982,500.0,0.0
27,55296,20.99,94.90654063224792,-0.00563327157869935,189.8357276916504,0.5689480163156986,nan,nan
28,57344,21.14,84.76064419746399,-0.007478525012265891,169.5478925704956,0.5824012793600559,449.5,6.5612498809297
29,59392,21.37,117.43634696006775,-0.0031314202933572233,234.89088096618653,0.5962038166821003,nan,nan
30,61440,21.37,195.68602828979493,-0.0016472249524667859,391.38692512512205,0.578719774633646,193.1,7.244998274671982
31,63488,21.87,119.66187477111816,-0.005313863675110042,239.34571313858032,0.5667108222842216,nan,nan
32,65536,22.47,59.65975453853607,-0.005911990767344832,119.34279751777649,0.5732403330504894,500.0,0.0
33,67584,22.57,100.36777038574219,-0.0053065243700984865,200.75774955749512,0.5797695547342301,nan,nan
34,69632,22.77,119.58232536315919,-0.005082235613372177,239.18640117645265,0.5793538019061089,406.6,72.13903243043949
35,71680,22.79,66.71157927513123,-0.005315813363995403,133.445242023468,0.5725833930075168,nan,nan
36,73728,23.11,57.41962912082672,-0.00282030047965236,114.85649361610413,0.5797606177628041,438.5,47.45576888008454
37,75776,23.39,84.15183668136596,-0.00569336061598733,168.32595615386964,0.5447995141148567,nan,nan
38,77824,24.06,47.84055778980255,-0.005607452627737075,95.70399947166443,0.5834383487701416,500.0,0.0
39,79872,24.87,58.20680780410767,-0.005578929232433439,116.43610243797302,0.5664452068507672,nan,nan
40,81920,24.93,32.869789361953735,-0.0009023670980241149,65.7532665491104,0.5941818669438362,500.0,0.0
41,83968,24.98,67.14651334285736,-0.0036337024765089156,134.31199922561646,0.5852730005979538,nan,nan
42,86016,25.14,60.65329885482788,-0.005739814217668027,121.32971334457397,0.5818029418587685,490.0,13.137731919931994
43,88064,24.74,66.93678421974182,-0.0027801010175608097,133.89055275917053,0.5711989343166352,nan,nan
44,90112,25.19,97.41293411254883,-0.0028003412066027523,194.8430362701416,0.5784040085971356,171.7,5.292447448959697
45,92160,26.0,111.41490802764892,-0.004679748724447564,222.85084209442138,0.5833264492452145,nan,nan
46,94208,27.15,67.85592651367188,-0.002105550281703472,135.7277519226074,0.5843727767467499,168.9,5.300000000000001
47,96256,27.7,70.63546266555787,-0.00282776087988168,141.28827323913575,0.5846456117928028,nan,nan
48,98304,28.45,29.66276980638504,0.00015931626548990608,59.336802053451535,0.579019920527935,307.6,30.073908957766037
49,100352,29.92,15.968838900327682,-0.003528807807015255,31.95601742863655,0.5641050226986408,nan,nan
50,102400,31.97,33.31413387656212,0.00033512640511617063,66.63919858932495,0.5800519973039627,500.0,0.0
51,104448,32.06,98.90342569351196,-0.0007910719024948776,197.8200569152832,0.5812169633805752,nan,nan
52,106496,33.38,45.48804593086243,-0.0040840563655365255,90.99599294662475,0.5866453059017658,415.7,25.483524089105103
53,108544,33.75,116.11694073677063,4.56008012406528e-05,232.24549827575683,0.5853778846561909,nan,nan
54,110592,34.53,95.4244942188263,-0.0004783642012625933,190.8614567756653,0.5756107218563556,263.5,14.486200329969208
55,112640,36.48,60.91848497390747,-0.0011095546244177968,121.8508370399475,0.5824273698031902,nan,nan
56,114688,39.94,44.04680731296539,-0.0047007996123284105,88.1146454334259,0.5814215898513794,500.0,0.0
57,116736,40.38,50.428158569335935,-0.0017695136659312994,100.87152919769287,0.5836619831621647,nan,nan
58,118784,42.2,27.79911916255951,-0.0021795581735204904,55.613917517662045,0.5660105235874653,500.0,0.0
59,120832,45.08,55.65949463844299,-0.0018334756838157772,111.33393034934997,0.5637090049684048,nan,nan
60,122880,46.16,33.69762482643127,-0.0035661807283759116,67.41387205123901,0.5745124593377113,500.0,0.0
61,124928,47.68,50.25717446804047,-0.0038497023982927204,100.53366546630859,0.5808792024850845,nan,nan
62,126976,47.97,70.39018039703369,0.0003025331534445286,140.79138679504393,0.5815146543085575,228.8,12.671227249165726
63,129024,48.81,74.86046175956726,-0.0029278887202963235,149.73830184936523,0.5761574357748032,nan,nan
64,131072,48.64,48.053546237945554,-0.001114733819849789,96.12074451446533,0.5711401648819446,343.9,80.61569326129994
65,133120,50.54,42.35027124881744,-0.004050256742630154,84.71985068321229,0.5603822074830532,nan,nan
66,135168,55.68,65.23332138061524,-0.003541871625930071,130.48479857444764,0.5535748407244683,500.0,0.0
67,137216,57.75,57.837738847732545,-0.0010653447243385017,115.6886417388916,0.5516404718160629,nan,nan
68,139264,59.07,59.31603028774261,-0.002658063266426325,118.64832696914672,0.5475282698869706,500.0,0.0
69,141312,62.2,48.09027016162872,-0.00519698485150002,96.20186262130737,0.5463914766907692,nan,nan
70,143360,64.19,55.44234311580658,-0.00026665903860703113,110.8963306903839,0.5555550575256347,500.0,0.0
71,145408,65.92,63.15433492660522,-0.0025610979762859644,126.32484917640686,0.5528688423335553,nan,nan
72,147456,70.98,57.16721909046173,-0.0009332961053587496,114.34732055664062,0.550759931653738,500.0,0.0
73,149504,76.23,49.052033042907716,0.00032449411228299143,98.11431350708008,0.5448279798030853,nan,nan
74,151552,81.62,52.80039913654328,-0.0004637422738596797,105.612761926651,0.5517872884869576,500.0,0.0
75,153600,85.57,55.67685062885285,-0.001377923955442384,111.36735310554505,0.5447737321257591,nan,nan
76,155648,93.87,54.08618543148041,-0.00104424407472834,108.18531832695007,0.5429398521780968,500.0,0.0
77,157696,98.01,67.40997700691223,-0.002582242572680116,134.83581700325013,0.534919860213995,nan,nan
78,159744,105.63,52.246338844299316,-0.0025118585908785462,104.50844116210938,0.5369594901800155,500.0,0.0
79,161792,112.59,46.578568530082705,-0.0037422821565996855,93.1752453804016,0.5311881817877293,nan,nan
80,163840,118.15,59.05305917263031,-0.003905514464713633,118.1246268749237,0.5348819017410278,500.0,0.0
81,165888,126.23,47.022896230220795,-0.00044851719867438077,94.05740728378296,0.5358864389359951,nan,nan
82,167936,131.25,47.98681056499481,-0.0013629239168949426,95.98700299263001,0.5327863931655884,500.0,0.0
83,169984,136.93,59.39914436340332,-0.000803825946059078,118.8104911327362,0.5297083459794522,nan,nan
84,172032,141.99,55.1707475066185,-0.0031569974147714675,110.35832269191742,0.5256691612303257,500.0,0.0
85,174080,149.7,59.51015543937683,-0.0003076303284615278,119.0313971042633,0.5235678248107434,nan,nan
86,176128,156.54,70.37965769767762,-0.0018458893406204878,140.77345972061158,0.5226295746862888,500.0,0.0
87,178176,163.78,51.02021291255951,-0.0024206907313782723,102.05569067001343,0.5212000414729119,nan,nan
88,180224,168.07,60.57342326641083,-0.0016570736304856836,121.16077294349671,0.5306199364364147,500.0,0.0
89,182272,178.61,56.27931632995605,-0.0004497732734307647,112.56997423171997,0.5220696672797203,nan,nan
90,184320,181.39,54.73125252723694,-0.0020513053168542683,109.47713804244995,0.5264847375452518,500.0,0.0
91,186368,179.34,58.8938429236412,-0.0035311916028149424,117.80505499839782,0.5153608359396458,nan,nan
92,188416,180.0,53.11147568225861,-9.498097933828831e-05,106.23350763320923,0.5183348339051008,500.0,0.0
93,190464,183.32,48.5824432015419,-0.0008275104104541242,97.176992893219,0.5225581735372543,nan,nan
94,192512,182.98,53.974508583545685,-0.0008809312130324543,107.96107988357544,0.5150690592825413,500.0,0.0
95,194560,183.68,57.381132102012636,-0.0017123865254689008,114.77592015266418,0.5115853700786829,nan,nan
96,196608,186.18,53.93885209560394,-0.0014492978109046817,107.89094109535218,0.5169508352875709,500.0,0.0
97,198656,189.2,43.087970447540286,-0.000411611155141145,86.1871850013733,0.5210543416440487,500.0,0.0
